n02791124,barber_chair
n02823428,beer_bottle
n02835271,bicycle-built-for-two
n02840245,binder
n02870880,bookcase
n02877765,bottlecap
n02992529,cellular_telephone
n03018349,china_cabinet
n03063599,coffee_mug
n03085013,computer_keyboard
n03127747,crash_helmet
n03180011,desktop_computer
n03187595,dial_telephone
n03376595,folding_chair
n03379051,football_helmet
n03388183,fountain_pen
n03485407,hand-held_computer
n03637318,lampshade
n03642806,laptop
n03691459,loudspeaker
n03742115,medicine_chest
n03759954,microphone
n03782006,monitor
n03785016,moped
n03792782,mountain_bike
n03793489,mouse
n03832673,notebook
n03902125,pay-phone
n03937543,pill_bottle
n03983396,pop_bottle
n04004767,printer
n04009552,projector
n04099969,rocking_chair
n04152593,screen
n04286575,spotlight
n04380533,table_lamp
n04476259,tray
n04505470,typewriter_keyboard
n04557648,water_bottle
n04591713,wine_bottle
n06596364,comic_book
n07930864,cup
